info:nul/d7d695fb-de84-451d-a73a-b74755ef56dd,"Massys, Cornelis (South Netherlandish painter and printmaker, born ca. 1510, died ca. 1557)"
info:nul/e034ddd2-ff5c-4ab9-a997-748478393213,"Key, Adriaen Thomasz (Flemish painter and printmaker, ca. 1544-after 1589)"
info:nul/74f31b92-55b7-479f-8e8e-97e995448d20,"Massys, Jan (South Netherlandish painter, ca. 1509-1575)"
info:nul/1721363e-6df2-4f90-a333-5f61c567e0f3,"Pourbus, Pieter Jansz. (Flemish painter, cartographer, and surveyor, born 1523 or 1524, died 1584)"
info:nul/ed1d3bb6-3fd8-4311-98af-b3b85bb7e9ef,"Christus, Petrus (South Netherlandish painter, born ca. 1410, died 1475 or 1476)"
info:nul/e4487940-4d2a-4a6d-a98c-8f82a6a2ec05,"Clouet, Francois (French draftsman, painter, and portraitist, ca. 1516-1572)"
info:nul/b8059c10-4e39-4adb-98cd-70774562a516,"Clouet, Jean (South Netherlandish painter, born ca. 1485, died 1540 or 1541, active in France)"
info:nul/3b4e0cd1-f889-401f-90b4-4e5cb63ee6c5,"Goes, Hugo van der (South Netherlandish painter, ca. 1440-1482)"
info:nul/08e822a7-badb-4394-a904-d7b1ca19a403,"Eyck, Jan van (Netherlandish painter, ca.1390-1441) follower of"
info:nul/9f201d74-ed4b-4f5c-a1b0-0461877eaea1,"Pourbus, Frans, the elder (Flemish painter, 1545-1581)"
info:nul/451d89a5-202c-4fb4-b2a6-a0efcd3f5844,"Weyden, Rogier van der (Flemish painter, ca. 1399-1464) workshop of"
info:nul/4a4872d1-0bf1-4041-ac43-3475a39207a1,"Valckenborch, Lucas van (Flemish painter and draftsman, born in or after 1535, died 1597)"
info:nul/b1f8ab73-eeff-49bc-9993-df5bb4a723f0,"Coecke van Aelst, Pieter, the elder (Flemish artist, architect, and author, 1502-1550)"
info:nul/8ecc2a41-1a8c-43a3-b21a-6e3822056f64,"Flandes, Juan de, the elder (Hispano-Flemish painter, ca. 1465-1519)"
info:nul/1cac06a4-8c35-42b2-849e-183b6bcdebb2,"Master of San Filippo (Italian artist, 1500-1550) attributed to"
info:nul/8c01ea9f-b4fa-4afb-8a42-fca0e3d919da,"Campin, Robert (Flemish painter and draftsman, ca. 1375/1379-1444) after"
info:nul/268730f8-30b2-4ec5-9c2c-3d17df17a694,"Mertens, Jan (Netherlandish artist, active ca. 1473-1509)"
info:nul/7a9c3fd7-d4ea-4dbd-b7dd-20269c442006,"Reymerswaele, Marinus van (South Netherlandish painter, ca. 1490-ca. 1567)"
info:nul/99426f07-ade4-48c1-ac58-2642c3782a02,"Fouquet, Jean (French painter, born ca. 1415-1420, died before 1481)"
info:nul/ba6da112-982a-49a2-a921-1e707661a019,"Marmion, Simon (French illuminator and panel painter, ca. 1425-1489)"
info:nul/d3092280-1f4a-4c75-ac52-da6d7786eaba,"Master of the Adair Hours (Netherlandish illuminator, active ca. 1490-1500)"
info:nul/48e3e28a-4f81-4d0f-83d3-d40b87102e43,"Cleve, Joos van (South Netherlandish painter, died 1540 or 1541) school of"
info:nul/8f3fcf7f-7d34-432f-9d30-a7b0bbaaa9c0,"Campin, Robert (Flemish painter and draftsman, ca. 1375/1379-1444) workshop of"
info:nul/dcd1f0ba-325f-459f-8082-9c652b251ae9,"Provoost, Jan (South Netherlandish painter, ca. 1465-1529)"
info:nul/9e274862-6f5e-4a3e-b2c4-81031aaf72f3,"Eyck, Jan van (Netherlandish painter, ca.1390-1441) school of"
info:nul/d1e957ed-bec2-4be5-a032-61718c7113ff,"Bellechose, Henri (South Netherlandish painter, active from 1415, died before 1445)"
info:nul/3c4858f1-59d0-4158-91e3-6d089ad6c34f,"Quarton, Enguerrand (French painter, ca. 1420-after 1466)"
info:nul/8c880398-5fd1-461c-8efe-093b068b699b,"Hey, Jean (Netherlandish painter, active ca.1480-ca.1504, active in France)"
info:nul/fa37004e-6ad6-40ef-892d-4d38fdc726dd,Antwerp Sculptor
info:nul/c346148f-ed67-47b4-8d09-510621d5fd81,"Hemessen, Jan van (Early Netherlandish painter, ca. 1500-ca. 1575)"
info:nul/e96812ee-93c6-4f4b-b34d-8836b8b69c36,"Massys, Jan (South Netherlandish painter, ca. 1509-1575) circle of"
info:nul/c282394a-6b8d-4a6d-b528-ccd929cb85b5,"Sustris, Friedrich (Dutch painter, ca. 1540-1599)"
info:nul/6fd485ab-385a-4511-bbf5-fc9c4931cb1a,"Stoss, Veit, the elder (German sculptor, painter, printmaker, ca. 1445/1450-1533)"
info:nul/335562e8-deee-4912-9506-2c06d3d995ed,"Riemenschneider, Jorg, active ca. 1529-1531"
info:nul/644a2ce3-1860-4253-a926-11e24e82963b,"Dell, Peter II active ca.1551-1600"
info:nul/73ac9ed9-7f4d-4402-b9e7-3a4db3543948,unknown German (German artist)
info:nul/10ea2c82-45d6-488b-af8b-62f8826e59ac,"Bertram von Minden (German painter, illuminator, and possibly woodcarver, died 1414 or 1415)"
info:nul/423cad3b-22ae-4cc9-a0d3-513a3cbedc85,"Master of the Unicorn Hunt (French designer of tapestries and illuminator, active ca. 1480-1510)"
info:nul/642858a3-9044-4024-a725-0c236e312630,"Lower Saxony, Gottingen"
info:nul/8004edf3-1228-485a-94f2-d0c026959bfb,"Durer, Albrecht (German printmaker and painter, 1471-1528) circle of"
info:nul/5aa9f558-0f27-4d95-ad31-23c9a7e521bc,"Baldung, Hans (German painter, born 1484 or 1485, died 1545)"
info:nul/be96f556-8043-4532-94c6-e8235a80bbbf,"Holbein, Hans, the elder (German painter, ca.1465-1524)"
info:nul/7eb350ec-ebb2-4bab-a94c-ebaeef499eab,"Grunewald, Matthias (German painter and draftsman, ca. 1470-ca. 1530)"
info:nul/71587c27-ffb6-4387-8a1f-1b99c857ba1d,"Altdorfer, Albrecht (German painter and printmaker, ca. 1480-1538)"
info:nul/06b860a4-ad15-45ba-90c8-784a73706f84,"Amberger, Christoph (German painter, born ca. 1505, died 1561 or 1562)"
info:nul/e4d9bd89-d2a8-47ea-bb9b-89fdf22bd81b,"Refinger, Ludwig (German painter, ca. 1515-1549)"
info:nul/58e8b046-3d1f-43ae-ad7e-f11a870fe08e,"Beck, Leonhard (German painter, illustrator, printmaker, ca.1480-1542)"
info:nul/b3b81118-20a3-4361-9af6-9e56171bd41b,"Beham, Barthel (German engraver, 1502-1540)"
info:nul/cc60514d-ffab-4beb-a499-73b99f4594bc,"Bruyn, Bartholomaeus, the elder (German painter, 1493-1555)"
info:nul/9f89154c-6ed4-4ac3-b79e-2955c81b245b,"Cranach, Lucas, the elder (German painter, draftsman, and printmaker, 1472-1553)"
info:nul/4e070b10-d5ac-403b-ab50-aa2d42b70f72,"Burgkmair, Hans, the elder (German painter, printmaker, and draftsman,1473-1531)"
info:nul/f4d2a841-3b3b-413e-85fb-ae48fdface0c,"Cranach, Lucas, the younger (German painter and printmaker, 1515-1586)"
